rank,lemma,absolute_frequency,freq_cat
579,dnešní,19889,A 
580,zkušenost,19872,A 
581,zjistit,19865,A 
582,mluvčí,19782,A 
583,území,19763,A 
584,láska,19761,A 
585,vhodný,19751,A 
586,zhruba,19720,A 
587,podíl,19717,A 
588,potvrdit,19710,A 
589,taky,19680,A 
590,slyšet,19657,A 
591,představitel,19652,A 
592,televize,19611,A 
593,většinou,19588,A 
594,věnovat,19553,A 
595,jet,19491,A 
596,alespoň,19487,A 
596,síť,19487,A 
597,napsat,19474,A 
598,rozpočet,19470,A 
599,text,19456,A 
600,nabídka,19426,A 
601,tzv,19391,A 
602,proces,19363,A 
603,rámec,19347,A 
604,opravdu,19336,A 
605,ano,19297,A 
606,září,19263,A 
607,úspěch,19253,A 
608,muzeum,19241,A 
609,tvořit,19184,A 
610,V,19167,A 
611,r,19110,A 
612,technický,19076,A 
613,unie,18953,A 
614,Ostrava,18935,A 
615,hudba,18910,A 
616,bůh,18908,A 
617,poprvé,18899,A 
618,šance,18856,A 
619,závěr,18839,A 
620,jednotka,18828,A 
621,sedm,18824,A 
622,noha,18787,A 
623,vyjít,18777,A 
624,jistě,18704,A 
625,doprava,18702,A 
626,výbor,18701,A 
627,vliv,18689,A 
628,chodit,18662,A 
629,název,18601,A 
630,leden,18521,A 
631,očekávat,18443,A 
632,představit,18433,A 
633,galerie,18406,A 
634,paní,18340,A 
635,svaz,18303,A 
636,krásný,18249,A 
637,květen,18226,A 
638,dopis,18224,A 
639,množství,18158,A 
640,spojený,18146,A 
641,postavit,18080,A 
642,vyhrát,18077,A 
643,přítel,18065,A 
644,vládní,18029,A 
645,brát,18023,A 
646,daň,18012,A 
647,doma,17972,A 
648,správa,17864,A 
649,výrobek,17855,A 
650,rozhovor,17818,A 
651,majitel,17810,A 
652,ochrana,17796,A 
653,zvýšit,17794,A 
654,listopad,17764,A 
655,zajímavý,17757,A 
656,budova,17748,A 
657,plán,17745,A 
658,metr,17698,A 
659,volný,17630,A 
660,smět,17618,A 
661,branka,17605,A 
662,soukromý,17577,A 
663,bývat,17564,A 
664,dvacet,17557,A 
665,původní,17551,A 
666,souvislost,17523,A 
667,ráno,17482,A 
668,přinést,17459,A 
669,podoba,17456,A 
670,součást,17434,A 
671,požadavek,17423,A 
672,červen,17410,A 
673,britský,17405,A 
674,matka,17366,A 
675,počátek,17329,A 
676,host,17307,A 
677,veřejnost,17279,A 
678,svoboda,17258,A 
679,stanice,17245,A 
680,ztráta,17199,A 
681,západní,17188,A 
682,kulturní,17167,A 
683,voják,17144,A 
684,nikoli,17137,A 
685,velice,17086,A 
686,jazyk,17063,A 
687,osm,17034,A 
688,čechy,17022,A 
689,papír,17013,A 
690,Vladimír,17005,A 
691,odborník,16922,A 
692,policista,16916,A 
693,ekonomika,16864,A 
694,oznámit,16789,A 
695,činit,16724,A 
696,televizní,16690,A 
697,hovořit,16664,A 
698,krátký,16645,A 
699,zůstávat,16622,A 
700,odmítnout,16613,A 
701,účast,16596,A 
702,říjen,16589,A 
703,vždycky,16581,A 
704,orgán,16555,A 
705,příjem,16546,A 
706,prostě,16530,A 
706,příprava,16530,A 
707,okno,16523,A 
707,technika,16523,A 
708,úspěšný,16517,A 
709,titul,16508,A 
710,kam,16506,A 
711,sedět,16491,A 
712,zisk,16483,A 
713,kvalita,16472,A 
714,koncert,16437,A 
715,držet,16431,A 
716,použít,16422,A 
717,Francie,16381,A 
718,uvádět,16371,A 
719,jakýkoli,16347,A 
720,stůl,16340,A 
721,noviny,16328,A 
722,moderní,16307,A 
723,Jaroslav,16303,A 
724,pravý,16301,A 
725,C,16280,A 
726,II,16272,A 
727,vstup,16245,A 
728,třída,16227,A 
729,Prostějov,16223,A 
730,Olomouc,16219,A 
731,myšlenka,16148,A 
732,kino,16131,A 
733,přesně,16100,A 
734,představa,16097,A 
735,zaplatit,16048,A 
736,tolik,16031,A 
737,privatizace,16026,A 
738,Klaus,16012,A 
739,zbraň,15993,A 
740,kontrola,15971,A 
741,téma,15967,A 
742,vycházet,15953,A 
743,obrana,15933,A 
744,syn,15926,A 
745,snaha,15897,A 
746,barva,15895,A 
747,LN,15880,A 
747,rychlý,15880,A 
748,onen,15879,A 
749,odejít,15826,A 
750,široký,15822,A 
751,přímý,15814,A 
752,rozvoj,15813,A 
753,P,15807,A 
754,úplně,15777,A 
755,právní,15740,A 
756,využít,15719,A 
757,student,15704,A 
758,škoda,15683,A 
759,vůči,15679,A 
760,význam,15676,A 
761,hod,15673,A 
762,partner,15660,A 
763,průběh,15639,A 
764,celkem,15616,A 
765,umět,15610,A 
766,průmysl,15599,A 
767,dokument,15584,A 
768,rodič,15578,A 
769,předpokládat,15573,A 
770,útok,15532,A 
771,úkol,15529,A 
772,zdravotní,15519,A 
773,čSSD,15515,A 
774,mnohem,15454,A 
775,přístup,15439,A 
776,stavební,15434,A 
777,vítězství,15423,A 
778,politik,15396,A 
779,věk,15394,A 
780,objekt,15377,A 
781,stránka,15369,A 
782,duben,15368,A 
783,odpovídat,15364,A 
784,podnikatel,15286,A 
785,březen,15265,A 
786,agentura,15264,A 
787,částka,15261,A 
788,konečně,15260,A 
789,běžný,15256,A 
790,historie,15255,A 
791,podívat,15227,A 
792,les,15212,A 
793,NATO,15193,A 
794,údaj,15187,A 
795,jakýsi,15159,A 
796,Němec,15155,A 
797,František,15150,A 
798,starosta,15148,A 
799,zastavit,15079,A 
800,zahájit,15078,A 
801,návštěva,15053,A 
802,výrobce,15048,A 
803,historický,15038,A 
804,energie,14999,A 
805,generální,14995,A 
806,ústav,14994,A 
807,pán,14993,A 
808,vzhledem,14985,A 
808,zeptat,14985,A 
809,vnitřní,14957,A 
810,zboží,14953,A 
811,mistr,14947,A 
812,odpovědět,14945,A 
813,konference,14944,A 
814,kancelář,14855,A 
815,demokratický,14831,A 
816,studium,14824,A 
817,prodat,14823,A 
818,důsledek,14812,A 
819,okresní,14806,A 
819,příběh,14806,A 
820,srpen,14797,A 
821,zlatý,14789,A 
822,fotografie,14772,A 
823,národ,14764,A 
823,skutečný,14764,A 
824,pořád,14721,A 
825,volební,14695,A 
826,příležitost,14691,A 
827,sledovat,14686,A 
828,ztratit,14684,A 
829,kurs,14674,A 
830,určitě,14646,A 
831,koupit,14643,A 
832,přesvědčit,14626,A 
833,závislý,14561,A 
834,finance,14550,A 
835,zabývat,14526,A 
836,srdce,14522,A 
837,zajistit,14520,A 
838,událost,14492,A 
839,prosinec,14379,A 
840,světlo,14369,A 
841,chyba,14349,A 
842,soubor,14326,A 
843,hora,14289,A 
844,bezpečný,14280,A 
845,hledisko,14266,A 
846,Martin,14207,A 
847,scéna,14206,A 
848,celek,14202,A 
849,odpověď,14170,A 
850,týkat,14152,A 
851,jednoduchý,14149,A 
852,setkání,14099,A 
853,správný,14083,A 
854,přijet,14074,A 
855,tel,14041,A 
856,opatření,14028,A 
857,zákazník,14027,A 
858,červenec,14014,A 
859,minulost,14007,A 
860,odborný,13949,A 
861,domnívat,13945,A 
862,čelo,13926,A 
863,tlak,13921,A 
864,ročník,13915,A 
865,podstata,13908,A 
866,určit,13898,A 
867,úprava,13880,A 
868,plyn,13856,A 
869,postupně,13854,A 
870,náměstí,13800,A 
871,sem,13779,A 
872,konkrétní,13763,A 
873,konat,13759,A 
874,uzavřít,13753,A 
875,jestliže,13721,A 
876,čistý,13718,A 
877,připravovat,13707,A 
878,pes,13706,A 
879,článek,13695,A 
880,duch,13680,A 
881,sdělit,13677,A 
882,tvorba,13676,A 
883,jmenovat,13665,A 
884,únor,13646,A 
885,počítač,13620,A 
886,stroj,13609,A 
887,EU,13598,A 
888,uskutečnit,13592,A 
889,dívat,13584,A 
890,demokracie,13556,A 
891,péče,13548,A 
892,pátek,13538,A 
893,obsahovat,13528,A 
894,podobně,13504,A 
895,ležet,13495,A 
896,čin,13484,A 
897,hodlat,13463,A 
898,občanský,13455,A 
899,tiskový,13444,A 
899,vyjádřit,13444,A 
900,model,13443,A 
901,dráha,13406,A 
902,záležitost,13398,A 
903,příroda,13393,A 
904,pacient,13386,A 
905,aktivita,13380,A 
906,povinnost,13379,A 
907,zvýšení,13273,A 
908,I,13262,A 
909,desítka,13254,A 
909,kolik,13254,A 
909,snížit,13254,A 
910,naděje,13237,A 
911,metoda,13228,A 
912,novinář,13225,A 
913,mužstvo,13218,A 
914,předmět,13209,A 
915,půda,13204,A 
916,informovat,13183,A 
917,sloužit,13181,A 
918,měnit,13169,A 
919,vybrat,13139,A 
920,budoucnost,13121,A 
921,pohyb,13111,A 
922,filmový,13110,A 
923,osud,13101,A 
924,uvedený,13090,A 
925,příklad,13084,A 
926,avšak,13081,A 
927,režim,13066,A 
928,Slavia,13062,A 
929,východní,13059,A 
930,okamžik,12982,A 
931,Polsko,12966,A 
932,družstvo,12964,A 
933,A,12943,A 
934,krátce,12928,A 
935,skoro,12924,A 
936,pokus,12923,A 
937,pozice,12898,A 
938,foto,12886,A 
939,soupeř,12881,A 
940,vysvětlit,12853,A 
941,poznat,12843,A 
942,investice,12842,A 
943,Moskva,12835,A 
944,dosavadní,12827,A 
945,pondělí,12809,A 
946,přát,12791,A 
947,výrazně,12786,A 
948,konečný,12781,A 
949,hotel,12773,A 
950,umožňovat,12762,A 
951,podat,12755,A 
952,schopnost,12752,A 
953,mistrovství,12721,A 
954,spor,12703,A 
955,dívka,12698,A 
955,současně,12698,A 
956,projev,12695,A 
957,řešit,12683,A 
958,seriál,12665,A 
959,číst,12660,A 
960,hudební,12649,A 
961,účastník,12642,A 
962,červený,12637,A 
963,sovětský,12623,A 
964,turnaj,12621,A 
965,Morava,12613,A 
966,nedostatek,12607,A 
967,pouhý,12591,A 
968,fotbalový,12580,A 
969,obor,12572,A 
970,nedávno,12567,A 
970,struktura,12567,A 
971,instituce,12566,A 
971,veškerý,12566,A 
972,chápat,12562,A 
973,pravidlo,12560,A 
974,dopravní,12556,A 
975,dějiny,12549,A 
976,snímek,12544,A 
977,výstavba,12525,A 
978,radnice,12514,A 
979,okolí,12509,A 
980,souhlasit,12508,A 
981,vzduch,12497,A 
982,příčina,12496,A 
983,dostávat,12481,A 
984,pokoj,12471,A 
985,značný,12466,A 
986,sdružení,12445,A 
987,látka,12433,A 
987,výrazný,12433,A 
988,univerzita,12408,A 
989,pojišťovna,12406,A 
990,osobnost,12398,A 
991,plocha,12395,A 
992,potřebný,12392,A 
993,nabídnout,12383,A 
994,přestože,12361,A 
995,úvěr,12349,A 
996,označit,12348,A 
997,Zdeněk,12333,A 
998,časopis,12324,A 
999,Havel,12315,A 
1000,kontakt,12313,A 
1001,pohybovat,12285,A 
1002,sněmovna,12269,A 
1003,bránit,12250,A 
1004,lidový,12246,A 
1004,vstoupit,12246,A 
1005,domů,12244,A 
1006,jezdit,12242,A 
1007,výběr,12238,A 
1008,kategorie,12216,A 
1009,vždyť,12212,A 
1010,bát,12211,A 
1011,obrovský,12203,A 
1012,otevřený,12199,A 
1013,Miroslav,12198,A 
1014,datum,12154,A 
1015,gól,12142,A 
1016,sportovní,12141,A 
1017,řád,12133,A 
1018,vracet,12091,A 
1019,přicházet,12066,A 
1020,umělecký,12058,A 
1020,způsobit,12058,A 
1021,investiční,12051,A 
1022,rychlost,12040,A 
1023,oběť,12032,A 
1024,Ivan,12013,A 
1025,termín,12008,A 
1026,pole,12007,A 
1027,hrozit,11981,  
1028,kolega,11979,  
1029,stávat,11976,  
1030,zajímat,11973,  
1031,telefon,11971,  
1032,bezpečnost,11969,  
1033,automobil,11945,  
1034,postava,11936,  
1035,buď,11926,  
1036,de,11912,  
1037,podepsat,11906,  
1038,jižní,11902,  
1039,ukazovat,11897,  
1040,vznik,11891,  
1041,třetina,11872,  
1042,vlna,11871,  
1043,teplota,11860,  
1044,kandidát,11847,  
1044,využívat,11847,  
1045,zemřít,11832,  
1046,Sparta,11831,  
